male ID,Total Pubs,First Author,female ID,Total Pubs,First Author
1,4,2,1,22,14
2,4,1,2,5,4
3,2,0,3,10,4
4,13,5,4,6,1
5,15,9,5,7,4
6,8,3,6,4,1
7,7,2,7,5,4
8,5,2,8,3,2
9,0,0,9,1,1
10,6,2,10,3,2
11,11,8,11,4,1
12,25,7,12,22,6
13,5,2,13,5,2
14,3,2,14,19,8
15,7,2,15,13,7
16,6,2,16,4,3
17,5,3,17,0,0
18,12,8,18,8,5
19,11,4,19,2,2
20,5,3,20,13,6
21,13,6,21,3,1
22,5,4,22,6,4
23,4,2,23,4,3
24,8,7,24,3,2
25,6,4,25,3,1
26,16,9,26,12,4
27,7,4,27,9,5
28,6,4,28,2,1
29,2,1,29,1,0
30,5,2,30,12,5
31,9,6,31,5,1
32,9,3,32,7,1
33,6,2,33,5,1
34,5,2,34,3,3
35,7,3,35,2,1
36,10,3,36,4,4
37,6,3,37,6,2
38,4,2,38,1,0
39,10,4,39,0,0
40,3,1,40,2,1
41,5,2,41,6,3
42,15,3,42,1,0
43,4,4,43,8,4
44,3,2,44,7,2
45,9,6,45,6,2
46,4,3,46,3,2
47,5,3,47,2,2
48,5,4,48,6,5
49,9,5,49,3,2
50,9,4,50,5,2
51,7,6,51,2,2
52,5,2,52,5,2
53,3,0,53,4,1
54,6,1,,,
55,1,1,,,
56,25,8,,,
57,2,2,,,
58,3,0,,,
59,9,2,,,
60,5,3,,,
61,9,4,,,
62,2,2,,,
63,7,4,,,
64,5,3,,,
65,3,2,,,
66,10,2,,,
67,5,5,,,
68,8,3,,,
69,2,2,,,
70,4,3,,,
71,12,3,,,
72,15,9,,,
73,5,3,,,
74,2,0,,,